00480e8c p_grCullMode
00486fa0 p_grConstantColorValue
00485c74 p_grDepthBiasLevel
004834b4 p_grDepthBufferFunction
004864a4 p_grDepthBufferMode
004800bc p_grDepthMask
00485f4c p_grDisableAllEffects
00486058 p_grDitherMode
00481e88 p_grFogColorValue
00480558 p_grFogMode
00483440 p_grFogTable
00485fbc p_grLoadGammaTable
00485f9c p_grSplash
004834b8 p_grGet
00485f98 p_grGetString
004874ac p_grQueryResolutions
00483f6c p_grReset
00481eb4 p_grGetProcAddress
00481d54 p_grEnable
0047fff4 p_grDisable
00485fe4 p_grCoordinateSpace
0048604c p_grDepthRange
00480e84 p_grViewport
00481ed0 p_grTexCalcMemRequired
00481e7c p_grTexTextureMemRequired
00481ec4 p_grTexMinAddress
00483f50 p_grTexMaxAddress
00481ed8 p_grTexNCCTable
00480e60 p_grTexSource
0048643c p_grTexClampMode
00484514 p_grTexCombine
0047fff0 p_grTexDetailControl
00480e88 p_grTexFilterMode
0048016c p_grTexLodBiasValue
00480e64 p_grTexDownloadMipMap
00480000 p_grTexDownloadMipMapLevel
004865c0 p_grTexDownloadMipMapLevelPartial
00481cf4 p_grTexDownloadTable
00480048 p_grTexDownloadTablePartial
0048702c p_grTexMipMapMode
004865c8 p_grTexMultibase
0047fffc p_grTexMultibaseAddress
00486048 p_grLfbLock
00486684 p_grLfbUnlock
00483490 p_grLfbConstantAlpha
00483f64 p_grLfbConstantDepth
00481eb8 p_grLfbWriteColorSwizzle
00487028 p_grLfbWriteColorFormat
00486fa4 p_grLfbWriteRegion
00480004 p_grLfbReadRegion
004870e4 p_grGlideInit
00483c88 p_grGlideShutdown
00481d10 p_grGlideGetState
004843a0 p_grGlideSetState
00483f94 p_grGlideGetVertexLayout
00486f74 p_grGlideSetVertexLayout
00486024 p_BinkBufferBlit
00483c9c p_BinkBufferCheckWinPos
00485f8c p_BinkBufferClear
00486440 p_BinkBufferClose
0048397c p_BinkBufferGetDescription
00486f6c p_BinkBufferGetError
004863f4 p_BinkBufferLock
00483da4 p_BinkBufferOpen
0048055c p_BinkBufferSetDirectDraw
00486f88 p_BinkBufferSetHWND
004834b0 p_BinkBufferSetOffset
00487030 p_BinkBufferSetResolution
00486fb0 p_BinkBufferSetScale
004863e8 p_BinkBufferUnlock
00480038 p_BinkCheckCursor
0048646c p_BinkClose
00481d04 p_BinkCloseTrack
00480818 p_BinkCopyToBuffer
00481ebc p_BinkDDSurfaceType
0048343c p_BinkDoFrame
004870d8 p_BinkGetError
004800f0 p_BinkGetKeyFrame
00487144 p_BinkGetRealtime
00483444 p_BinkGetRects
00486f64 p_BinkGetSummary
00483f4c p_BinkGetTrackData
004870d4 p_BinkGetTrackID
00483450 p_BinkGetTrackMaxSize
00480f40 p_BinkGetTrackType
00481cdc p_BinkGoto
004834ac p_BinkIsSoftwareCursor
00485c70 p_BinkLogoAddress
00486404 p_BinkNextFrame
00486044 p_BinkOpen
004834d0 p_BinkOpenDirectSound
00483434 p_BinkOpenMiles
00480f00 p_BinkOpenTrack
00485f90 p_BinkPause
00480efc p_BinkRestoreCursor
0047ffbc p_BinkService
00486f90 p_BinkSetError
004800c0 p_BinkSetFrameRate
00484920 p_BinkSetIOSize
0048081c p_BinkSetPan
00485f44 p_BinkSetSimulate
0047ffe8 p_BinkSetSoundOnOff
00483334 p_BinkSetSoundSystem
00486678 p_BinkSetSoundTrack
00485fd0 p_BinkSetVideoOnOff
004834d8 p_BinkSetVolume
0047ffec p_BinkWait
